,weekNum,partNum,realCount,backorder,done,product_qty,date_planned,backorderStatus,netQty
1366,21,False,0.0,False,False,,,,
1367,21,False,0.0,False,False,,,,
1368,21,False,0.0,False,False,,,,
1369,21,False,0.0,False,False,,,,
1370,21,False,0.0,False,False,,,,
1371,21,False,0.0,False,False,,,,
1372,21,False,0.0,False,False,,,,
1373,21,False,0.0,False,False,,,,
1374,21,False,0.0,False,False,,,,
1375,21,False,0.0,False,False,,,,
1376,21,False,0.0,False,False,,,,
1377,21,False,0.0,False,False,,,,
1378,22,False,0.0,False,False,,,,
1379,22,DET-1-01-650CON,0.0,False,False,,,,
1380,22,PS-1-02-HV600W,0.0,False,False,,,,
1381,22,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
1382,22,SFTY-1-02-30,0.0,False,False,,,,
1383,22,SFTY-1-02-30,0.0,False,False,,,,
1384,22,SFTY-1-02-31,0.0,False,False,,,,
1385,22,SFTY-1-02-31,0.0,False,False,,,,
1386,22,TS-1-01-23ACRES,0.0,False,False,,,,
1387,22,SFTY-1-01-70,0.0,False,False,,,,
1388,22,SFTY-1-01-80,0.0,False,False,,,,
1389,22,SFTY-1-01-64,0.0,False,False,,,,
1390,22,SFTY-1-01-64,0.0,False,False,,,,
1391,22,SFTY-1-01-60,0.0,False,False,,,,
1392,22,SFTY-1-01-61,0.0,False,False,,,,
1393,22,SFTY-1-01-62,0.0,False,False,,,,
1394,22,SFTY-1-01-63,0.0,False,False,,,,
1395,22,FT-1-01-NFV3A,0.0,False,False,,,,
1396,22,FT-1-01-N3AS,0.0,False,False,,,,
1397,22,False,0.0,False,False,,,,
1398,22,False,0.0,False,False,,,,
1399,22,False,0.0,False,False,,,,
1400,22,False,0.0,False,False,,,,
1401,22,False,0.0,False,False,,,,
1402,22,False,0.0,False,False,,,,
1403,22,False,0.0,False,False,,,,
1404,22,False,0.0,False,False,,,,
1405,22,False,0.0,False,False,,,,
1406,22,False,0.0,False,False,,,,
1407,22,False,0.0,False,False,,,,
1408,22,False,0.0,False,False,,,,
1409,22,False,0.0,False,False,,,,
1410,22,False,0.0,False,False,,,,
1411,23,False,0.0,False,False,,,,
1412,23,DET-1-01-650CON,0.0,False,False,,,,
1413,23,PS-1-02-HV600W,0.0,False,False,10.0,2022-06-10 16:00:00,False,10.0
1414,23,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
1415,23,SFTY-1-02-30,0.0,False,False,,,,
1416,23,SFTY-1-02-30,0.0,False,False,,,,
1417,23,SFTY-1-02-31,0.0,False,False,,,,
1418,23,SFTY-1-02-31,0.0,False,False,,,,
1419,23,TS-1-01-23ACRES,0.0,False,False,,,,
1420,23,SFTY-1-01-70,0.0,False,False,,,,
1421,23,SFTY-1-01-80,0.0,False,False,,,,
1422,23,SFTY-1-01-64,0.0,False,False,,,,
1423,23,SFTY-1-01-64,0.0,False,False,,,,
1424,23,SFTY-1-01-60,0.0,False,False,,,,
1425,23,SFTY-1-01-61,0.0,False,False,,,,
1426,23,SFTY-1-01-62,0.0,False,False,,,,
1427,23,SFTY-1-01-63,0.0,False,False,,,,
1428,23,FT-1-01-NFV3A,0.0,False,False,,,,
1429,23,FT-1-01-N3AS,0.0,False,False,,,,
1430,23,False,0.0,False,False,,,,
1431,23,False,0.0,False,False,,,,
1432,23,False,0.0,False,False,,,,
1433,23,False,0.0,False,False,,,,
1434,23,False,0.0,False,False,,,,
1435,23,False,0.0,False,False,,,,
1436,23,False,0.0,False,False,,,,
1437,23,False,0.0,False,False,,,,
1438,23,False,0.0,False,False,,,,
1439,23,False,0.0,False,False,,,,
1440,23,False,0.0,False,False,,,,
1441,23,False,0.0,False,False,,,,
1442,23,False,0.0,False,False,,,,
1443,23,False,0.0,False,False,,,,
1444,24,False,0.0,False,False,,,,
1445,24,False,0.0,False,False,,,,
1446,24,DET-1-01-650CON,0.0,False,False,,,,
1447,24,DET-1-01-650CON,0.0,False,False,,,,
1448,24,DET-1-01-650CON,0.0,False,False,,,,
1449,24,PS-1-02-HV600W,0.0,False,False,,,,
1450,24,PS-1-02-HV600W,0.0,False,False,,,,
1451,24,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
1452,24,ELEC-1-ACHEAT-01-4000,0.0,False,False,,,,
